DocumentID,Document,Book
1,of the holy city and from the things which are written in this book he which testifieth these things saith surely i come quickly amen even so come lord the grace of our lord be with you all amen,NT
2,funeral pile triumphantly and exult in the agony of the torturing flames the light of that conflagration will fade away my ashes will be swept into the sea by the winds my spirit will sleep in peace or if it thinks it will not surely think thus farewell he sprang from the cabin window as he said this upon the ice raft which lay close to the vessel he was soon borne away by the waves and lost in darkness and distance,FS
3,bore this kind of fruit and suffered it to drop off as fast as it ripened would prepare the way for a still more perfect and glorious state which also i have imagined but not yet anywhere seen,WD
4,the book of the generation of the son of david the son of abraham abraham begat isaac and isaac begat jacob and jacob begat judas and his brethren and judas begat phares and zara of thamar and phares begat esrom and esrom begat aram and aram begat aminadab and aminadab begat naasson and naasson begat salmon and salmon begat booz of rachab and booz begat obed of ruth and obed begat jesse and jesse begat david the king and david the king begat solomon of her that had been the wife of urias and solomon begat roboam and roboam begat abia and abia begat asa and asa begat josaphat and josaphat begat joram and joram begat ozias and ozias begat joatham and joatham begat achaz and achaz begat ezekias and ezekias begat manasses and manasses begat amon and amon begat josias and josias begat jechonias and his brethren about the time they were carried away to babylon and after they were brought to babylon jechonias begat salathiel and salathiel begat zorobabel and zorobabel begat abiud and abiud begat eliakim and eliakim begat azor and azor begat sadoc and sadoc begat achim and achim begat eliud and eliud begat eleazar and,NT
5,by or the modern prometheus letter st petersburgh dec 11th to mrs saville england you will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings i arrived here yesterday and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking i am already far north of london and as i walk in the streets of petersburgh i feel a cold northern breeze play upon my cheeks which braces my nerves and fills me with delight do you understand this feeling this breeze which has travelled from the regions towards which i am advancing gives me a foretaste of those icy climes inspirited by this wind of promise my daydreams become more fervent and vivid i try in vain to be persuaded that the pole is the seat of frost and desolation it ever presents itself to my imagination as the region of beauty and delight there margaret the sun is forever visible its broad disk just skirting the horizon and diffusing a perpetual splendour therefor with your leave my sister i will put some trust in preceding,FS
6,economy when i wrote the following pages or rather the bulk of them i lived alone in the woods a mile from any neighbor in a house which i had built myself on the shore of pond in concord massachusetts and earned my living by the labor of my hands only i lived there two years and two months at present i am a sojourner in civilized life again i should not obtrude my affairs so much on the notice of my readers if very particular inquiries had not been made by my townsmen concerning my mode of life which some would call impertinent though they do not appear to me at all impertinent but considering the circumstances very natural and pertinent some have asked what i got to eat if i did not feel lonesome if i was not afraid and the like others have been curious to learn what portion of my income i devoted to charitable purposes and some who have large families how many poor children i maintained i will therefore ask those of my readers who feel no particular interest in me to pardon me if i undertake to answer some of these questions in,WD
7,i fantine so long as there shall exist by virtue of law and custom decrees of damnation pronounced by society artificially creating hells amid the civilization of earth and adding the element of human fate to divine destiny so long as the three great problems of the century the degradation of man through pauperism the corruption of woman through hunger the crippling of children through lack of light are unsolved so long as social asphyxia is possible in any part of the world in other words and with a still wider significance so long as ignorance and poverty exist on earth books of the nature of cannot fail to be of use hauteville house fantine first a just man i m myriel in m charles francois bienvenu myriel was bishop of d he was an old man of about seventy five years of age he had occupied the see of d since although this detail has no connection whatever with the real substance of what we are about to relate it will not be superfluous if merely for the sake of exactness in all points to mention here the various rumors and remarks which had been in circulation about him,LM
8,eleazar begat matthan and matthan begat jacob and jacob begat joseph the husband of mary of whom was born who is called so all the generations from abraham to david are fourteen generations and from david until the carrying away into babylon are fourteen generations and from the carrying away into babylon unto are fourteen generations now the birth of was on this wise when as his mother mary was espoused to joseph before they came together she was found with child of the holy ghost then joseph her husband being a just man and not willing to make her a publick example was minded to put her away privily but while he thought on these things behold the angel of the lord appeared unto him in a dream saying joseph thou son of david fear not to take unto thee mary thy wife for that which is conceived in her is of the holy ghost and she shall bring forth a son and thou shalt call his name jesus for he shall save his people from their sins now all this was done that it might be fulfilled which was spoken of the lord by the prophet saying behold,NT
9,navigatorsthere snow and frost are banished and sailing over a calm sea we may be wafted to a land surpassing in wonders and in beauty every region hitherto discovered on the habitable globe its productions and features may be without example as the phenomena of the heavenly bodies undoubtedly are in those undiscovered solitudes what may not be expected in a country of eternal light i may there discover the wondrous power which attracts the needle and may regulate a thousand celestial observations that require only this voyage to render their seeming eccentricities consistent forever i shall satiate my ardent curiosity with the sight of a part of the world never before visited and may tread a land never before imprinted by the foot of man these are my enticements and they are sufficient to conquer all fear of danger or death and to induce me to commence this laborious voyage with the joy a child feels when he embarks in a little boat with his holiday mates on an expedition of discovery up his native river but supposing all these conjectures to be false you cannot contest the inestimable benefit which i shall confer on all mankind to the,FS
10,this book in most books the i or first person is omitted in this it will be retained that in respect to egotism is the main difference we commonly do not remember that it is after all always the first person that is speaking i should not talk so much about myself if there were anybody else whom i knew as well unfortunately i am confined to this theme by the narrowness of my experience moreover i on my side require of every writer first or last a simple and sincere account of his own life and not merely what he has heard of other men's lives some such account as he would send to his kindred from a distant land for if he has lived sincerely it must have been in a distant land to me perhaps these pages are more particularly addressed to poor students as for the rest of my readers they will accept such portions as apply to them i trust that none will stretch the seams in putting on the coat for it may do good service to him whom it fits i would fain say something not so much concerning the chinese and sandwich,WD
